"N","fit","lwr","upr","group"
1.33183424448276,1.60096631758529,1.30495622230955,1.89697641286103,"2"
1.33889454755686,1.59232746990287,1.29970128086665,1.8849536589391,"2"
1.34595485063096,1.58368862222046,1.29422310607399,1.87315413836693,"2"
1.35301515370506,1.57504977453804,1.28851431060839,1.86158523846769,"2"
1.36007545677916,1.56641092685562,1.28256775243675,1.8502541012745,"2"
1.36713575985326,1.55777207917321,1.27637660699508,1.83916755135133,"2"
1.37419606292736,1.54913323149079,1.26993444140766,1.82833202157392,"2"
1.38125636600146,1.54049438380837,1.26323528922575,1.817753478391,"2"
1.38831666907557,1.53185553612596,1.25627372395934,1.80743734829257,"2"
1.39537697214967,1.52321668844354,1.24904492952468,1.7973884473624,"2"
1.40243727522377,1.51457784076112,1.24154476565181,1.78761091587043,"2"
1.40949757829787,1.5059389930787,1.23376982630554,1.77810815985187,"2"
1.41655788137197,1.49730014539629,1.22571748927902,1.76888280151356,"2"
1.42361818444607,1.48866129771387,1.21738595532391,1.75993664010383,"2"
1.43067848752017,1.48002245003145,1.20877427548048,1.75127062458243,"2"
1.43773879059427,1.47138360234904,1.19988236565012,1.74288483904795,"2"
1.44479909366838,1.46274475466662,1.19071100789205,1.73477850144119,"2"
1.45185939674248,1.4541059069842,1.18126183839787,1.72694997557054,"2"
1.45891969981658,1.44546705930179,1.17153732257238,1.7193967960312,"2"
1.46598000289068,1.43682821161937,1.16154071809686,1.71211570514188,"2"
1.47304030596478,1.42818936393695,1.15127602724381,1.7051027006301,"2"
1.48010060903888,1.41955051625454,1.14074794002806,1.69835309248101,"2"
1.48716091211298,1.41091166857212,1.12996177000322,1.69186156714102,"2"
1.49422121518708,1.4022728208897,1.11892338463723,1.68562225714217,"2"
1.50128151826119,1.39363397320729,1.10763913222816,1.67962881418641,"2"
1.50834182133529,1.38499512552487,1.09611576725896,1.67387448379077,"2"
1.51540212440939,1.37635627784245,1.08436037595181,1.66835217973309,"2"
1.52246242748349,1.36771743016003,1.07238030358584,1.66305455673423,"2"
1.52952273055759,1.35907858247762,1.06018308490591,1.65797408004933,"2"
1.53658303363169,1.3504397347952,1.04777637869218,1.65310309089822,"2"
1.54364333670579,1.34180088711278,1.03516790729847,1.6484338669271,"2"
1.55070363977989,1.33316203943037,1.02236540171458,1.64395867714615,"2"
1.557763942854,1.32452319174795,1.00937655247596,1.63966983101994,"2"
1.5648242459281,1.31588434406553,0.996208966538914,1.63555972159215,"2"
1.5718845490022,1.30724549638312,0.98287013006732,1.63162086269891,"2"
1.5789448520763,1.2986066487007,0.969367376936847,1.62784592046455,"2"
1.5860051551504,1.28996780101828,0.955707862655875,1.62422773938069,"2"
1.5930654582245,1.28132895333586,0.941898543325429,1.6207593633463,"2"
1.6001257612986,1.27269010565345,0.927946159210542,1.61743405209635,"2"
1.6071860643727,1.26405125797103,0.913857222468469,1.61424529347359,"2"
1.6142463674468,1.25541241028861,0.899638008571074,1.61118681200615,"2"
1.62130667052091,1.2467735626062,0.885294550965491,1.6082525742469,"2"
1.62836697359501,1.23813471492378,0.870832638535185,1.60543679131238,"2"
1.63542727666911,1.22949586724136,0.856257815449521,1.60273391903321,"2"
1.64248757974321,1.22085701955895,0.841575383021229,1.60013865609666,"2"
1.64954788281731,1.21221817187653,0.826790403225315,1.59764594052774,"2"
1.65660818589141,1.20357932419411,0.81190770356844,1.59525094481979,"2"
1.66366848896551,1.1949404765117,0.79693188303287,1.59294906999052,"2"
1.67072879203961,1.18630162882928,0.781867318853223,1.59073593880533,"2"
1.67778909511372,1.17766278114686,0.76671817391617,1.58860738837755,"2"
1.68484939818782,1.16902393346444,0.75148840460309,1.5865594623258,"2"
1.69190970126192,1.16038508578203,0.73618176892272,1.58458840264134,"2"
1.69897000433602,1.15174623809961,0.720801834805277,1.58269064139394,"2"
1,2.14739390442445,1.69357610178452,2.60121170706438,"3"
1.01131892859804,2.13372877879085,1.68545926766679,2.58199828991491,"3"
1.02263785719608,2.12006365315725,1.67733995304157,2.56278735327293,"3"
1.03395678579412,2.10639852752365,1.66921806351011,2.5435789915372,"3"
1.04527571439216,2.09273340189006,1.66109349986948,2.52437330391063,"3"
1.05659464299019,2.07906827625646,1.65296615780618,2.50517039470674,"3"
1.06791357158823,2.06540315062286,1.64483592756624,2.48597037367949,"3"
1.07923250018627,2.05173802498927,1.6367026935998,2.46677335637873,"3"
1.09055142878431,2.03807289935567,1.62856633417775,2.44757946453359,"3"
1.10187035738235,2.02440777372207,1.62042672097785,2.42838882646629,"3"
1.11318928598039,2.01074264808847,1.61228371863765,2.4092015775393,"3"
1.12450821457843,1.99707752245488,1.60413718427092,2.39001786063883,"3"
1.13582714317647,1.98341239682128,1.59598696694425,2.37083782669831,"3"
1.14714607177451,1.96974727118768,1.5878329071099,2.35166163526546,"3"
1.15846500037254,1.95608214555409,1.57967483599073,2.33248945511744,"3"
1.16978392897058,1.94241701992049,1.57151257491238,2.3133214649286,"3"
1.18110285756862,1.92875189428689,1.56334593457759,2.29415785399619,"3"
1.19242178616666,1.9150867686533,1.55517471427663,2.27499882302996,"3"
1.2037407147647,1.9014216430197,1.54699870102744,2.25584458501195,"3"
1.21505964336274,1.8877565173861,1.53881766863819,2.23669536613401,"3"
1.22637857196078,1.8740913917525,1.53063137668402,2.21755140682098,"3"
1.23769750055882,1.86042626611891,1.52243956938896,2.19841296284885,"3"
1.24901642915686,1.84676114048531,1.51424197440272,2.1792803065679,"3"
1.26033535775489,1.83309601485171,1.50603830146101,2.16015372824241,"3"
1.27165428635293,1.81943088921811,1.49782824091636,2.14103353751987,"3"
1.28297321495097,1.80576576358452,1.48961146212508,2.12192006504396,"3"
1.29429214354901,1.79210063795092,1.48138761167399,2.10281366422785,"3"
1.30561107214705,1.77843551231732,1.47315631142856,2.08371471320609,"3"
1.31693000074509,1.76477038668373,1.46491715638154,2.06462361698591,"3"
1.32824892934313,1.75110526105013,1.45666971227879,2.04554080982147,"3"
1.33956785794117,1.73744013541653,1.4484135129954,2.02646675783766,"3"
1.35088678653921,1.72377500978293,1.44014805763222,2.00740196193365,"3"
1.36220571513724,1.71010988414934,1.43187280729814,1.98834696100054,"3"
1.37352464373528,1.69644475851574,1.42358718153949,1.96930233549199,"3"
1.38484357233332,1.68277963288214,1.4152905543719,1.95026871139238,"3"
1.39616250093136,1.66911450724855,1.40698224986419,1.93124676463291,"3"
1.4074814295294,1.65544938161495,1.39866153721643,1.91223722601347,"3"
1.41880035812744,1.64178425598135,1.39032762526641,1.8932408866963,"3"
1.43011928672548,1.62811913034775,1.38197965634888,1.87425860434663,"3"
1.44143821532352,1.61445400471416,1.3736166994215,1.85529131000681,"3"
1.45275714392156,1.60078887908056,1.36523774235847,1.83634001580265,"3"
1.46407607251959,1.58712375344696,1.3568416832987,1.81740582359522,"3"
1.47539500111763,1.57345862781337,1.3484273209187,1.79848993470803,"3"
1.48671392971567,1.55979350217977,1.33999334348117,1.77959366087837,"3"
1.49803285831371,1.54612837654617,1.33153831648887,1.76071843660347,"3"
1.50935178691175,1.53246325091257,1.32306066874818,1.74186583307697,"3"
1.52067071550979,1.51879812527898,1.31455867661861,1.72303757393935,"3"
